"model","converged","n_risk_rows","expected_interaction","interaction_rule_pass","formula","scenario_id","replicate","seed"
"M9_denominator",TRUE,742410,"group:last_y",TRUE,"observed_event ~ group + time + I(time^2) + design_stratum +      last_y + group:last_y","VS_B_N",770,20960770
"M9_numerator",TRUE,742410,"",TRUE,"observed_event ~ group + time + I(time^2) + design_stratum","VS_B_N",770,20960770
"M10_M11_eye_denominator",TRUE,553458,"group:last_y",TRUE,"eye_event ~ group + time + I(time^2) + last_y + group:last_y","VS_B_N",770,20960770
"M10_M11_eye_numerator",TRUE,553458,"",TRUE,"eye_event ~ group + time + I(time^2)","VS_B_N",770,20960770
"M10_M11_shared_denominator",TRUE,194910,"group:last_patient_mean",TRUE,"shared_event ~ group + time + I(time^2) + last_patient_mean +      group:last_patient_mean","VS_B_N",770,20960770
"M10_M11_shared_numerator",TRUE,194910,"",TRUE,"shared_event ~ group + time + I(time^2)","VS_B_N",770,20960770
"M9_denominator",TRUE,731460,"group:last_y",TRUE,"observed_event ~ group + time + I(time^2) + design_stratum +      last_y + group:last_y","VS_B_N",771,20960771
"M9_numerator",TRUE,731460,"",TRUE,"observed_event ~ group + time + I(time^2) + design_stratum","VS_B_N",771,20960771
"M10_M11_eye_denominator",TRUE,568692,"group:last_y",TRUE,"eye_event ~ group + time + I(time^2) + last_y + group:last_y","VS_B_N",771,20960771
"M10_M11_eye_numerator",TRUE,568692,"",TRUE,"eye_event ~ group + time + I(time^2)","VS_B_N",771,20960771
"M10_M11_shared_denominator",TRUE,183960,"group:last_patient_mean",TRUE,"shared_event ~ group + time + I(time^2) + last_patient_mean +      group:last_patient_mean","VS_B_N",771,20960771
"M10_M11_shared_numerator",TRUE,183960,"",TRUE,"shared_event ~ group + time + I(time^2)","VS_B_N",771,20960771
"M9_denominator",TRUE,708465,"group:last_y",TRUE,"observed_event ~ group + time + I(time^2) + design_stratum +      last_y + group:last_y","VS_B_N",772,20960772
"M9_numerator",TRUE,708465,"",TRUE,"observed_event ~ group + time + I(time^2) + design_stratum","VS_B_N",772,20960772
"M10_M11_eye_denominator",TRUE,556833,"group:last_y",TRUE,"eye_event ~ group + time + I(time^2) + last_y + group:last_y","VS_B_N",772,20960772
"M10_M11_eye_numerator",TRUE,556833,"",TRUE,"eye_event ~ group + time + I(time^2)","VS_B_N",772,20960772
"M10_M11_shared_denominator",TRUE,160965,"group:last_patient_mean",TRUE,"shared_event ~ group + time + I(time^2) + last_patient_mean +      group:last_patient_mean","VS_B_N",772,20960772
"M10_M11_shared_numerator",TRUE,160965,"",TRUE,"shared_event ~ group + time + I(time^2)","VS_B_N",772,20960772
"M9_denominator",TRUE,745695,"group:last_y",TRUE,"observed_event ~ group + time + I(time^2) + design_stratum +      last_y + group:last_y","VS_B_N",773,20960773
"M9_numerator",TRUE,745695,"",TRUE,"observed_event ~ group + time + I(time^2) + design_stratum","VS_B_N",773,20960773
"M10_M11_eye_denominator",TRUE,576327,"group:last_y",TRUE,"eye_event ~ group + time + I(time^2) + last_y + group:last_y","VS_B_N",773,20960773
"M10_M11_eye_numerator",TRUE,576327,"",TRUE,"eye_event ~ group + time + I(time^2)","VS_B_N",773,20960773
"M10_M11_shared_denominator",TRUE,198195,"group:last_patient_mean",TRUE,"shared_event ~ group + time + I(time^2) + last_patient_mean +      group:last_patient_mean","VS_B_N",773,20960773
"M10_M11_shared_numerator",TRUE,198195,"",TRUE,"shared_event ~ group + time + I(time^2)","VS_B_N",773,20960773
"M9_denominator",TRUE,720510,"group:last_y",TRUE,"observed_event ~ group + time + I(time^2) + design_stratum +      last_y + group:last_y","VS_B_N",774,20960774
"M9_numerator",TRUE,720510,"",TRUE,"observed_event ~ group + time + I(time^2) + design_stratum","VS_B_N",774,20960774
"M10_M11_eye_denominator",TRUE,586264,"group:last_y",TRUE,"eye_event ~ group + time + I(time^2) + last_y + group:last_y","VS_B_N",774,20960774
"M10_M11_eye_numerator",TRUE,586264,"",TRUE,"eye_event ~ group + time + I(time^2)","VS_B_N",774,20960774
"M10_M11_shared_denominator",TRUE,173010,"group:last_patient_mean",TRUE,"shared_event ~ group + time + I(time^2) + last_patient_mean +      group:last_patient_mean","VS_B_N",774,20960774
"M10_M11_shared_numerator",TRUE,173010,"",TRUE,"shared_event ~ group + time + I(time^2)","VS_B_N",774,20960774
"M9_denominator",TRUE,707370,"group:last_y",TRUE,"observed_event ~ group + time + I(time^2) + design_stratum +      last_y + group:last_y","VS_B_N",775,20960775
"M9_numerator",TRUE,707370,"",TRUE,"observed_event ~ group + time + I(time^2) + design_stratum","VS_B_N",775,20960775
"M10_M11_eye_denominator",TRUE,536182,"group:last_y",TRUE,"eye_event ~ group + time + I(time^2) + last_y + group:last_y","VS_B_N",775,20960775
"M10_M11_eye_numerator",TRUE,536182,"",TRUE,"eye_event ~ group + time + I(time^2)","VS_B_N",775,20960775
"M10_M11_shared_denominator",TRUE,159870,"group:last_patient_mean",TRUE,"shared_event ~ group + time + I(time^2) + last_patient_mean +      group:last_patient_mean","VS_B_N",775,20960775
"M10_M11_shared_numerator",TRUE,159870,"",TRUE,"shared_event ~ group + time + I(time^2)","VS_B_N",775,20960775
"M9_denominator",TRUE,735840,"group:last_y",TRUE,"observed_event ~ group + time + I(time^2) + design_stratum +      last_y + group:last_y","VS_B_N",776,20960776
"M9_numerator",TRUE,735840,"",TRUE,"observed_event ~ group + time + I(time^2) + design_stratum","VS_B_N",776,20960776
"M10_M11_eye_denominator",TRUE,549032,"group:last_y",TRUE,"eye_event ~ group + time + I(time^2) + last_y + group:last_y","VS_B_N",776,20960776
"M10_M11_eye_numerator",TRUE,549032,"",TRUE,"eye_event ~ group + time + I(time^2)","VS_B_N",776,20960776
